name,parent,parent_frequency,plate,sample,group,var,rep,control,prom_cas,timepoint,generations,efficiency
VB_20240909_Cas_vars_Experiment_T02_TEF_D2_D6.fcs,root,1,VB_20240909_Cas_vars,D6,T02_TEF_D2,FnCas12a(CO),2,No,TEF,T02,6.459431619,79.512
VB_20240909_Cas_vars_Experiment_T02_TEF_D2_E6.fcs,root,1,VB_20240909_Cas_vars,E6,T02_TEF_D2,FnCas12a,2,No,TEF,T02,7.596935142,85.32
VB_20240909_Cas_vars_Experiment_T02_TEF_D2_F6.fcs,root,1,VB_20240909_Cas_vars,F6,T02_TEF_D2,LbCas12a,2,No,TEF,T02,5.40599236,38.54
VB_20240909_Cas_vars_Experiment_T02_TEF_D2_G6.fcs,root,1,VB_20240909_Cas_vars,G6,T02_TEF_D2,AsCas12a,2,No,TEF,T02,5.608809243,23.408
VB_20240909_Cas_vars_Experiment_T02_TEF_D2_H6.fcs,root,1,VB_20240909_Cas_vars,H6,T02_TEF_D2,MbCas12a,2,No,TEF,T02,5.906890596,17.644000000000002
VB_20240909_Cas_vars_Experiment_T03_PGK1_D1_C11.fcs,root,1,VB_20240909_Cas_vars,C11,T03_PGK1_D1,LbCas12a(CO),1,No,PGK1,T03,14.85502417,76.596
VB_20240909_Cas_vars_Experiment_T03_PGK1_D1_D11.fcs,root,1,VB_20240909_Cas_vars,D11,T03_PGK1_D1,FnCas12a(CO),1,No,PGK1,T03,16.75127625,45.284
VB_20240909_Cas_vars_Experiment_T03_PGK1_D1_E11.fcs,root,1,VB_20240909_Cas_vars,E11,T03_PGK1_D1,FnCas12a,1,No,PGK1,T03,17.05337611,66.716
VB_20240909_Cas_vars_Experiment_T03_PGK1_D1_F11.fcs,root,1,VB_20240909_Cas_vars,F11,T03_PGK1_D1,LbCas12a,1,No,PGK1,T03,11.675449,63.732
VB_20240909_Cas_vars_Experiment_T03_PGK1_D1_G11.fcs,root,1,VB_20240909_Cas_vars,G11,T03_PGK1_D1,AsCas12a,1,No,PGK1,T03,14.42500604,70.6478511866581
VB_20240909_Cas_vars_Experiment_T03_PGK1_D2_C12.fcs,root,1,VB_20240909_Cas_vars,C12,T03_PGK1_D2,LbCas12a(CO),2,No,PGK1,T03,14.97819563,71.75200000000001
VB_20240909_Cas_vars_Experiment_T03_PGK1_D2_D12.fcs,root,1,VB_20240909_Cas_vars,D12,T03_PGK1_D2,FnCas12a(CO),2,No,PGK1,T03,16.51493098,49.588
VB_20240909_Cas_vars_Experiment_T03_PGK1_D2_E12.fcs,root,1,VB_20240909_Cas_vars,E12,T03_PGK1_D2,FnCas12a,2,No,PGK1,T03,16.89175333,65.00399999999999
VB_20240909_Cas_vars_Experiment_T03_PGK1_D2_F12.fcs,root,1,VB_20240909_Cas_vars,F12,T03_PGK1_D2,LbCas12a,2,No,PGK1,T03,14.70043972,75.864
VB_20240909_Cas_vars_Experiment_T03_PGK1_D2_G12.fcs,root,1,VB_20240909_Cas_vars,G12,T03_PGK1_D2,AsCas12a,2,No,PGK1,T03,13.99774403,74.168
VB_20240909_Cas_vars_Experiment_T03_TEF_D1_C9.fcs,root,1,VB_20240909_Cas_vars,C9,T03_TEF_D1,LbCas12a(CO),1,No,TEF,T03,15.90674031,62.048
VB_20240909_Cas_vars_Experiment_T03_TEF_D1_D9.fcs,root,1,VB_20240909_Cas_vars,D9,T03_TEF_D1,FnCas12a(CO),1,No,TEF,T03,17.22495431,64.116
VB_20240909_Cas_vars_Experiment_T03_TEF_D1_E9.fcs,root,1,VB_20240909_Cas_vars,E9,T03_TEF_D1,FnCas12a,1,No,TEF,T03,17.33080486,68.66
VB_20240909_Cas_vars_Experiment_T03_TEF_D1_F9.fcs,root,1,VB_20240909_Cas_vars,F9,T03_TEF_D1,LbCas12a,1,No,TEF,T03,15.71304277,69.74000000000001
VB_20240909_Cas_vars_Experiment_T03_TEF_D1_G9.fcs,root,1,VB_20240909_Cas_vars,G9,T03_TEF_D1,AsCas12a,1,No,TEF,T03,15.93799167,42.184
VB_20240909_Cas_vars_Experiment_T03_TEF_D1_H9.fcs,root,1,VB_20240909_Cas_vars,H9,T03_TEF_D1,MbCas12a,1,No,TEF,T03,16.20413093,34.964
VB_20240909_Cas_vars_Experiment_T03_TEF_D2_C10.fcs,root,1,VB_20240909_Cas_vars,C10,T03_TEF_D2,LbCas12a(CO),2,No,TEF,T03,14.79749942,55.324
VB_20240909_Cas_vars_Experiment_T03_TEF_D2_D10.fcs,root,1,VB_20240909_Cas_vars,D10,T03_TEF_D2,FnCas12a(CO),2,No,TEF,T03,15.95288682,68.604
VB_20240909_Cas_vars_Experiment_T03_TEF_D2_E10.fcs,root,1,VB_20240909_Cas_vars,E10,T03_TEF_D2,FnCas12a,2,No,TEF,T03,17.13764441,74.768
VB_20240909_Cas_vars_Experiment_T03_TEF_D2_F10.fcs,root,1,VB_20240909_Cas_vars,F10,T03_TEF_D2,LbCas12a,2,No,TEF,T03,14.78796784,66.684
VB_20240909_Cas_vars_Experiment_T03_TEF_D2_G10.fcs,root,1,VB_20240909_Cas_vars,G10,T03_TEF_D2,AsCas12a,2,No,TEF,T03,15.03171499,37.632
